Task ID,Task Name,Description content,Status,List,Task assignee,Time Estimate,Depends On
S3.A4,Markdown course-folder renderer,"Render every selected asset, course overview, source index, and Lesson Plan into deterministic organized paths without claiming native DOCX or PPTX files exist.",To Do,Sprint 3 - Whole-course production,Vaibhav,5h,S3.A3
S3.A5,Run summary and mocked end-to-end test,"Record completed, skipped, failed, and pending-review stages, token and cost references, and output paths, then run a fully mocked modest course through folder generation.",To Do,Sprint 3 - Whole-course production,Vaibhav,4h,S3.A1|S3.A2|S3.A3|S3.A4
S3.B1,Generalize Student Content to all planned subtopics,"Remove fixed FRM subtopic assumptions, derive stable asset identities from Course Model and Blueprint data, and generate only selected assets across the acceptance course.",To Do,Sprint 3 - Whole-course production,Siddarth,6h,S2.M
S3.B2,Generic whole-course context slicing,"Build context slices for arbitrary module and subtopic IDs using course context, neighbor summaries, Blueprint requirements, and only approved assigned evidence.",To Do,Sprint 3 - Whole-course production,Siddarth,5h,S3.B1
S3.B3,Selection and evidence enforcement,"Block unselected assets and proposed, rejected, or unassigned sources deterministically and return an evidence-gap state instead of drafting unsupported facts.",To Do,Sprint 3 - Whole-course production,Siddarth,4h,S3.B2
S3.B4,Whole-course verification and targeted revision,"Verify every generated factual asset, surface results by subtopic, and revise one target without regenerating unaffected assets.",To Do,Sprint 3 - Whole-course production,Siddarth,5h,S3.B1|S3.B2|S3.B3
S3.B5,"Partial failure, cache, and retry behavior","Preserve successful assets when a call fails, retry within bounds, reuse unchanged cache entries, and expose a recoverable pending state to the coordinator.",To Do,Sprint 3 - Whole-course production,Siddarth,4h,S3.B1|S3.B4
S3.P1,First multi-subtopic integration,"Run two subtopics early and fix ID, selection, context, and resume boundary defects before expanding to the full acceptance course.",To Do,Sprint 3 - Whole-course production,"Vaibhav,Siddarth",2h,S3.A1|S3.B1|S3.B2
S3.P2,Failure and revision drill,Force one generation failure and one targeted human revision and prove that completed unrelated work remains intact.,To Do,Sprint 3 - Whole-course production,"Vaibhav,Siddarth",1.5h,S3.A2|S3.B4|S3.B5
S3.M,Sprint 3 integration gate,"Produce exactly the selected assets for an approved four-to-eight-subtopic Blueprint, verification results, a basic Lesson Plan, Markdown deliverables, and a resumable run summary.",To Do,Sprint 3 - Whole-course production,"Vaibhav,Siddarth",2.5h,S3.A5|S3.B3|S3.B4|S3.B5|S3.P1|S3.P2
S4.P1,Primary live acceptance run,"Run the agreed non-FRM course from sparse request through folder output and exercise clarification, outcome, source, and asset choices, competitor scanning, targeted revision, and resume.",To Do,Sprint 4 - Acceptance and stabilization,"Vaibhav,Siddarth",4h,S3.M
S4.A1,Interaction and CLI stabilization,"Improve prompts, defaults, validation messages, cancellation, and summaries based on the live acceptance run without introducing a new UI framework.",To Do,Sprint 4 - Acceptance and stabilization,Vaibhav,4h,S4.P1
S4.A2,Output-folder and run-summary stabilization,"Make filenames, indexes, course overview, source index, status reporting, and rerun behavior deterministic and understandable.",To Do,Sprint 4 - Acceptance and stabilization,Vaibhav,3h,S3.A4|S3.A5|S4.P1
S4.A3,Lesson Plan and delivery fixes,Correct generic scheduling or timing defects found in acceptance and ensure every planned subtopic is covered exactly where intended.,To Do,Sprint 4 - Acceptance and stabilization,Vaibhav,3h,S3.A3|S4.P1
S4.A4,Resume and operator acceptance,"Document and test stop, quit, resume, rejection, retry, and targeted-revision behavior from an operator's perspective.",To Do,Sprint 4 - Acceptance and stabilization,Vaibhav,3h,S3.A2|S4.P1
S4.A5,Demo and operator guide,Write a minimal setup and run guide plus a concise demonstration script using the actual accepted output.,To Do,Sprint 4 - Acceptance and stabilization,Vaibhav,2h,S4.P2
S4.B1,Live research and TOC acceptance fixes,"Fix only bounded search, extraction, normalization, source capture, and insufficient-evidence defects exposed by the primary live run.",To Do,Sprint 4 - Acceptance and stabilization,Siddarth,5h,S4.P1
S4.B2,Live whole-course content and verification fixes,"Complete acceptance generation and repair generic evidence routing, IDs, verification, cache, or targeted-revision defects without subject-specific prompt rules.",To Do,Sprint 4 - Acceptance and stabilization,Siddarth,5h,S4.B1
S4.B3,Second-topic domain-neutral smoke test,Run a substantially different topic through Course Model and Blueprint plus a small selected-content slice without changing reusable code or prompts.,To Do,Sprint 4 - Acceptance and stabilization,Siddarth,3h,S4.B1
S4.B4,Final integrity and negative tests,"Prove rejected-source, unselected-asset, invalid-ID, insufficient-evidence, and hidden competitor-content failures are blocked.",To Do,Sprint 4 - Acceptance and stabilization,Siddarth,2h,S4.B2|S4.B3
S4.P2,Acceptance review and defect triage,"Review all artifacts and outputs together, classify only prototype-blocking defects as required, and preserve the approved scope boundary.",To Do,Sprint 4 - Acceptance and stabilization,"Vaibhav,Siddarth",2h,S4.A1|S4.A2|S4.A3|S4.A4|S4.B2|S4.B3|S4.B4
S4.P3,Reserved integration buffer,"Reserve one full focused day for unpredictable live research, model-output, cross-artifact, or rendering failures; use it for stretch work only if the final gate already passes.",To Do,Sprint 4 - Acceptance and stabilization,"Vaibhav,Siddarth",5h,S4.P2
S4.M,Prototype final gate,"Confirm the primary course and second-topic smoke pass, regression tests are green, rejected sources and assets cannot leak, the course folder is complete, resume works, and the operator guide is accurate.",To Do,Sprint 4 - Acceptance and stabilization,"Vaibhav,Siddarth",4h,S4.A5|S4.P2|S4.P3
