Name,Status,Sprint,Assignees,Start Date,Due Date,Time Estimate,Dependency Type,Blocked By,Owner,Description
S2.6 Generate core 5 end-to-end through pipeline ⚌,Backlog,Sprint 2 — Generator,"Vaibhav, Siddarth",2026-06-17,2026-06-17,4h,Finish-to-Start,"S2.4, S2.5",Vaibhav + Siddarth,Run the full pipeline end-to-end to produce all 5 core assets as one v0.2 package; debug integration.
"S2.7 Write contract/skeleton tests (schema-valid v0.2 + integrity, LLM mocked)",Backlog,Sprint 2 — Generator,Siddarth,2026-06-16,2026-06-16,3h,Finish-to-Start,S2.1,Siddarth,"Contract tests per Plan §H: schema-valid v0.2, all expected assets present, claims resolve to grounding ids, integrity.py passes; LLM mocked for plumbing. Author Tue against the schema/stub; run green against the Wed end-to-end output. Fills the otherwise-idle Tue 16 Jun."
"S2.M Milestone: end-to-end run, real core-5 content",Backlog,Sprint 2 — Generator,,2026-06-22,2026-06-22,,Milestone,"S2.6, S2.7",—,"Gate (Mon 22 Jun): end-to-end run produces real, grounded core-5 content; contract tests green."
"S3.1 Build verification agent (adversarial, per-claim verdicts)",Backlog,"Sprint 3 — Verify, measure & ship",Siddarth,2026-06-22,2026-06-22,5h,Finish-to-Start,S2.M,Siddarth,"Build the verification agent: adversarial, asset-by-asset, writing per-claim support verdicts into claims[]."
S3.2 Build eval/scoring + two-tier compare + scorecard,Backlog,"Sprint 3 — Verify, measure & ship",Vaibhav,2026-06-22,2026-06-22,5h,Finish-to-Start,S2.M,Vaibhav,"Build the eval/scoring tool: 1-10 rubric scoring, agent-vs-manual comparison, and a per-run scorecard JSON."
S3.3 Run verification + first baseline scorecard ⚌,Backlog,"Sprint 3 — Verify, measure & ship","Vaibhav, Siddarth",2026-06-23,2026-06-23,2h,Finish-to-Start,"S3.1, S3.2",Vaibhav + Siddarth,Run verification + scoring on the core 5 for the first baseline scorecard vs the manual.
S3.4 Improve-&-re-measure loop (tune→regen→verify→score) ⚌⟳,Backlog,"Sprint 3 — Verify, measure & ship","Vaibhav, Siddarth",2026-06-23,2026-06-25,12h,Finish-to-Start,S3.3,Vaibhav + Siddarth,"Iterate: tune prompts, regenerate, re-verify, re-score until the core 5 meet or beat the manual. Spread across Tue–Thu so no person exceeds ~6h/day (the week's only slack lives in this loop). (Main quality-risk task.)"
S3.5 Generate light 4 (Imp.Person/DYK/Activities/Resources),Backlog,"Sprint 3 — Verify, measure & ship",Vaibhav,2026-06-22,2026-06-25,3h,Finish-to-Start,S2.M,Vaibhav,"Generate the 4 light assets (Important Person, Did-you-know, Activities, Resources) and their prompts. Low-intensity fill — slot into the week's only gaps (≈1h Mon + 2h Wed), not onto the full Tue/Thu. Off the critical path, so flex it first if any day runs hot."
S3.6 Wire feedback-driven revision loop (targeted regen),Backlog,"Sprint 3 — Verify, measure & ship",Siddarth,2026-06-24,2026-06-25,4h,Finish-to-Start,S3.1,Siddarth,"Wire the feedback-driven revision loop so verifier flags drive targeted per-asset regeneration. Spread Wed–Thu (2h/day) alongside the improve loop. Deferred-priority — slips first if the week runs tight."
S3.7 Verify + score all 9 (incl. light 4),Backlog,"Sprint 3 — Verify, measure & ship",Vaibhav,2026-06-25,2026-06-25,1h 30m,Finish-to-Start,"S3.4, S3.5",Vaibhav,"Run verification + scoring across all 9 assets, including the light 4."
S3.8 Blind A/B human scoring + timed review ≤ threshold ⚌ ◆DONE-GATE,Backlog,"Sprint 3 — Verify, measure & ship","Vaibhav, Siddarth",2026-06-26,2026-06-26,3h,Finish-to-Start,S3.7,Vaibhav + Siddarth,Done gate: blind A/B human scoring (agent vs manual) + a timed human review against the threshold.
S3.9 Phase 1 handoff doc + update master context + lessons,Backlog,"Sprint 3 — Verify, measure & ship","Vaibhav, Siddarth",2026-06-26,2026-06-26,3h,Finish-to-Start,S3.8,Vaibhav + Siddarth,"Write the Phase 1 handoff doc, update master context, and capture the reusable lessons."
S3.10 (stretch) 2nd-subtopic generalization check,Backlog,"Sprint 3 — Verify, measure & ship","Vaibhav, Siddarth",2026-06-29,2026-06-29,4h,Free to start,,Vaibhav + Siddarth,"(Stretch — uncommitted) Post-gate 2nd-subtopic run to check prompts generalize. Only if the gate passes with time to spare; first task to drop. No committed slot in Sprint 3 — every working day already sits at the ~6h ceiling."
S3.M Milestone: PHASE 1 DONE (DoD checklist complete),Backlog,"Sprint 3 — Verify, measure & ship",,2026-06-29,2026-06-29,,Milestone,S3.9,—,"Gate (Mon 29 Jun): Phase 1 done — all 9 assets ≥ manual, human review in minutes not a rewrite."
